"","lag","rr","rr.ll.bfc","rr.ul.bfc","ccs_level_1_description","lag.factor"
"1",0,0.775417094067769,0.701824722586191,0.856726260022367,"Neuropsychiatric disorders","0"
"2",1,1.01108908052246,0.928461459871876,1.10107007445719,"Neuropsychiatric disorders","1"
"3",2,1.05642504390696,0.971815394941041,1.14840110498716,"Neuropsychiatric disorders","2"
"4",3,1.05603335412859,0.973197142934824,1.14592038532809,"Neuropsychiatric disorders","3"
"5",4,1.04288514966406,0.962037891396806,1.13052660931131,"Neuropsychiatric disorders","4"
"6",5,1.03818151408466,0.955857959154995,1.12759521000374,"Neuropsychiatric disorders","5"
"7",6,1.07504571020081,0.987355580513823,1.17052387390137,"Neuropsychiatric disorders","6"
"8",7,1.02806200692768,0.941523376435958,1.12255469862999,"Neuropsychiatric disorders","7"
"9",0,0.967443575659003,0.919313577300262,1.01809338531958,"Injuries","0"
"10",1,1.08906810426541,1.03901665795591,1.14153062575691,"Injuries","1"
"11",2,1.13549362216563,1.08464628293311,1.18872464347746,"Injuries","2"
"12",3,1.11395759617396,1.06428122111379,1.16595266500619,"Injuries","3"
"13",4,1.06595555415362,1.0175583188259,1.11665466480784,"Injuries","4"
"14",5,1.11674965273308,1.06599462722176,1.16992126886208,"Injuries","5"
"15",6,1.04969438785771,0.999791298443116,1.10208831544723,"Injuries","6"
"16",7,1.01788399218516,0.968462509636618,1.06982749588888,"Injuries","7"
"17",0,0.682618833730516,0.631892358483083,0.737417482436741,"Musculoskeletal and connective tissue diseases","0"
"18",1,0.810756305107335,0.760080125702656,0.864811174563515,"Musculoskeletal and connective tissue diseases","1"
"19",2,0.940814951502714,0.888276951182789,0.996460362719591,"Musculoskeletal and connective tissue diseases","2"
"20",3,0.972034831135442,0.919743853446652,1.02729875214688,"Musculoskeletal and connective tissue diseases","3"
"21",4,1.00217777290984,0.947770726107804,1.05970807163365,"Musculoskeletal and connective tissue diseases","4"
"22",5,1.05657783482136,0.995942949318627,1.12090428653524,"Musculoskeletal and connective tissue diseases","5"
"23",6,1.05985901314514,0.995273985516551,1.12863507344865,"Musculoskeletal and connective tissue diseases","6"
"24",7,0.99933807840315,0.936885417799122,1.0659538252741,"Musculoskeletal and connective tissue diseases","7"
"25",0,0.804769144454929,0.724441546033483,0.894003635507653,"Skin and subcutaneous tissue diseases","0"
"26",1,0.956650815838646,0.869963912539491,1.05197557077197,"Skin and subcutaneous tissue diseases","1"
"27",2,1.09985368205494,1.00735075376138,1.20085096220253,"Skin and subcutaneous tissue diseases","2"
"28",3,1.08711960976956,0.996035717621489,1.18653279700422,"Skin and subcutaneous tissue diseases","3"
"29",4,1.13244586134614,1.04014473600698,1.23293767154285,"Skin and subcutaneous tissue diseases","4"
"30",5,1.06146627849448,0.970005968338437,1.16155023490311,"Skin and subcutaneous tissue diseases","5"
"31",6,1.08862443440195,0.994449752339386,1.19171748636779,"Skin and subcutaneous tissue diseases","6"
"32",7,1.09535362247623,0.999194692391954,1.20076654470573,"Skin and subcutaneous tissue diseases","7"
"33",0,0.871170066088818,0.816456327538151,0.929550373303627,"Genitourinary diseases","0"
"34",1,0.938423791252111,0.883138018804294,0.997170536469836,"Genitourinary diseases","1"
"35",2,1.04547068662858,0.987812049357605,1.1064948613559,"Genitourinary diseases","2"
"36",3,1.08025576119935,1.0222086669495,1.14159911506799,"Genitourinary diseases","3"
"37",4,1.09715088744181,1.0383381645755,1.15929483368885,"Genitourinary diseases","4"
"38",5,1.05325981071658,0.994505522505022,1.11548523740361,"Genitourinary diseases","5"
"39",6,1.07730851827181,1.01621723158086,1.14207239109254,"Genitourinary diseases","6"
"40",7,0.995623585550871,0.937188202221484,1.05770252096164,"Genitourinary diseases","7"
"41",0,0.839161871108208,0.796919481399816,0.883643407342598,"Digestive system diseases","0"
"42",1,0.917713639123967,0.874365159647018,0.963211210032832,"Digestive system diseases","1"
"43",2,0.990779414551425,0.945756952049134,1.03794515723302,"Digestive system diseases","2"
"44",3,1.01044556359461,0.965414320873725,1.05757726492392,"Digestive system diseases","3"
"45",4,1.00022933957301,0.955513731449293,1.04703752422813,"Digestive system diseases","4"
"46",5,1.02408882124547,0.978188958076397,1.0721424578972,"Digestive system diseases","5"
"47",6,1.03087203074789,0.9841193903913,1.07984575261313,"Digestive system diseases","6"
"48",7,1.00800606266777,0.961378880675757,1.05689467784103,"Digestive system diseases","7"
"49",0,1.06619322724544,1.01711564500733,1.11763888738124,"Respiratory diseases","0"
"50",1,1.23814404159118,1.185755910438,1.29284674378006,"Respiratory diseases","1"
"51",2,1.22043829777803,1.16853827770481,1.27464343025964,"Respiratory diseases","2"
"52",3,1.07760118631009,1.02937374269773,1.12808814580178,"Respiratory diseases","3"
"53",4,1.07072416800995,1.02300700586267,1.12066705055829,"Respiratory diseases","4"
"54",5,1.04033941700043,0.992787860879536,1.09016854981079,"Respiratory diseases","5"
"55",6,1.05864652276642,1.01015363474134,1.10946733409756,"Respiratory diseases","6"
"56",7,1.04203422017159,0.993891281794763,1.09250914652136,"Respiratory diseases","7"
"57",0,0.846987952150058,0.82073540712976,0.874080227141862,"Cardiovascular diseases","0"
"58",1,0.964780864891751,0.9373478819852,0.993016717859263,"Cardiovascular diseases","1"
"59",2,1.04948254188702,1.02097982042925,1.07878097459612,"Cardiovascular diseases","2"
"60",3,1.04216183491099,1.01417744372934,1.07091840472335,"Cardiovascular diseases","3"
"61",4,1.03530121455739,1.00757916171036,1.06378599875424,"Cardiovascular diseases","4"
"62",5,1.03505522120643,1.00669619654055,1.06421313066274,"Cardiovascular diseases","5"
"63",6,1.01962308397376,0.990894762870456,1.04918430526419,"Cardiovascular diseases","6"
"64",7,0.999308166038759,0.970707694752491,1.02875130805095,"Cardiovascular diseases","7"
"65",0,0.834560438712825,0.758753847120363,0.917940816389767,"Nervous system diseases","0"
"66",1,1.06065112978359,0.975632065283154,1.15307897222986,"Nervous system diseases","1"
"67",2,1.12376487179702,1.03678602203556,1.21804061806849,"Nervous system diseases","2"
"68",3,1.02181586061665,0.940132058835043,1.11059679668998,"Nervous system diseases","3"
"69",4,1.05008969320447,0.966522063759473,1.14088276421249,"Nervous system diseases","4"
"70",5,1.04283371914851,0.958282387179139,1.13484519839121,"Nervous system diseases","5"
"71",6,0.999481338237058,0.915938344388413,1.09064431203736,"Nervous system diseases","6"
"72",7,1.11123965444045,1.02258164076114,1.20758433398218,"Nervous system diseases","7"
"73",0,0.785593017859278,0.694194501360248,0.889025177381776,"Blood diseases","0"
"74",1,0.906556811513514,0.81024847511423,1.01431261858985,"Blood diseases","1"
"75",2,0.938232289232536,0.843119165479298,1.0440752204442,"Blood diseases","2"
"76",3,0.963622073393735,0.868408595644348,1.06927488395328,"Blood diseases","3"
"77",4,1.04458714710002,0.944755312117835,1.1549681635984,"Blood diseases","4"
"78",5,1.02793117864497,0.927687086495772,1.13900745565166,"Blood diseases","5"
"79",6,1.06919037226902,0.963852719199624,1.18604017956399,"Blood diseases","6"
"80",7,1.04353455858211,0.937404551370881,1.16168027279431,"Blood diseases","7"
"81",0,0.796594898553748,0.735242506027916,0.863066848283882,"Endocrine disorders","0"
"82",1,1.03516022741611,0.965526002252669,1.1098165082288,"Endocrine disorders","1"
"83",2,1.10685807206521,1.03515005132258,1.18353352746357,"Endocrine disorders","2"
"84",3,1.08699656334174,1.01680911277841,1.16202885464721,"Endocrine disorders","3"
"85",4,1.08764522798635,1.0179161489389,1.16215087381671,"Endocrine disorders","4"
"86",5,1.04298018256296,0.973887202488678,1.11697500330558,"Endocrine disorders","5"
"87",6,1.08470625452221,1.01186140869962,1.16279526868375,"Endocrine disorders","6"
"88",7,1.0102582810677,0.939817742389237,1.08597842797819,"Endocrine disorders","7"
"89",0,0.741244609148507,0.688539071327277,0.797984592991325,"Cancers","0"
"90",1,0.846981906451189,0.793446743123667,0.904129175742144,"Cancers","1"
"91",2,0.97296782146194,0.916418768856102,1.03300632175184,"Cancers","2"
"92",3,1.01837085547281,0.962117303063609,1.07791346852834,"Cancers","3"
"93",4,0.995258056395248,0.939807859388753,1.05397990549248,"Cancers","4"
"94",5,1.04869860006646,0.989042216811216,1.11195329692512,"Cancers","5"
"95",6,1.00725314008146,0.945583609193519,1.07294466437429,"Cancers","6"
"96",7,0.985549141368834,0.924140225921556,1.05103866578717,"Cancers","7"
"97",0,0.886626685564371,0.820798381077546,0.957734442071949,"Infectious and parasitic diseases","0"
"98",1,1.03729334287058,0.966128589244644,1.11370007175222,"Infectious and parasitic diseases","1"
"99",2,1.10753254352077,1.03408634761264,1.18619527062655,"Infectious and parasitic diseases","2"
"100",3,1.11569519064162,1.04231466972843,1.19424181062824,"Infectious and parasitic diseases","3"
"101",4,1.06217333564682,0.990563587911777,1.1389598898315,"Infectious and parasitic diseases","4"
"102",5,1.0093205621356,0.939089448035586,1.08480400805346,"Infectious and parasitic diseases","5"
"103",6,1.06639512833599,0.992838727608802,1.1454010990059,"Infectious and parasitic diseases","6"
"104",7,1.03683682998632,0.964934921795103,1.11409649265896,"Infectious and parasitic diseases","7"
